year,drought_deaths,n_affected_drought,drought_costs,eq_deaths,n_affected_eq,eq_costs,volc_deaths,n_affected_volc,volc_costs,flood_deaths,n_affected_flood,flood_costs,mass_movement_deaths,n_affected_mass_movement,mass_movement_costs,storm_deaths,n_affected_storm,storm_costs,landslide_deaths,n_affected_landslide,landslide_costs,fog_deaths,n_affected_fog,fog_costs,wildfire_deaths,n_affected_wildfire,wildfire_costs,ext_temp_deaths,n_affected_ext_temp,ext_temp_costs,glacial_outburst_deaths,n_affected_glacial_outburst,glacial_outburst_costs
2004,320.0,71886000.0,13303236000.0,909160.0,7685762.0,155102000000.0,8.0,212172.0,0,27904.0,466101226.0,41546437000.0,176.0,0,0,26211.0,81704315.0,337723840000.0,1252.0,48604.0,14000000.0,0,0,0,61.0,73800.0,15000000.0,1086.0,1357868.0,0,0,0,0
2005,596.0,118203960.0,1848480000.0,304964.0,3555440.0,26820400000.0,12.0,1364000.0,0,22999.0,297329990.0,74450680000.0,0,0,0,21045.0,194811586.0,744403844000.0,2656.0,36240.0,220000000.0,0,0,0,208.0,20000.0,19110000000.0,11407.0,204000.0,6000000000.0,0,0,0
2006,536.0,95428000.0,12767865000.0,26768.0,11494173.0,13725812000.0,20.0,1514392.0,600000000.0,23431.0,102697875.0,31229427000.0,44.0,0,0,17341.0,265899204.0,70821340000.0,6556.0,1335270.0,160584000.0,0,0,0,56.0,5744.0,4015000000.0,18414.0,0,0,0,0,0
2007,0.0,21112576.0,2824000000.0,3119.0,5157792.0,59888000000.0,44.0,203792.0,0,34416.0,711691130.0,98640268000.0,0,0,0,24111.0,95294972.0,125525904000.0,1084.0,35968.0,0,0,0,0,686.0,7115465.0,20142270000.0,4946.0,3939696.0,0,0,0,0
2008,32.0,136272000.0,936000000.0,351674.0,186901040.0,343184000000.0,64.0,159804.0,0,16036.0,169457836.0,78842576000.0,480.0,0,0,563961.0,61423004.0,246292412000.0,2016.0,20000.0,0,0,0,0,344.0,220000.0,10128000000.0,7116.0,316682008.0,87760000000.0,0,0,0
2009,0,345182000.0,14514800000.0,7867.0,12343100.0,26632640000.0,0,190148.0,0,14569.0,238494840.0,32505512000.0,144.0,8148.0,0,13187.0,201305808.0,110188620000.0,2892.0,95692.0,1196000000.0,0,0,0,768.0,41391.0,6175000000.0,6066.0,3316424.0,4648000000.0,0,0,0
2010,80000.0,236590628.0,15538800000.0,906932.0,22803180.0,189202640000.0,1292.0,680824.0,0,33525.0,752478137.0,204552434000.0,0,0,0,6315.0,33100666.0,119427332000.0,13708.0,9600092.0,5108312000.0,0,0,0,664.0,100800.0,8280000000.0,228750.0,291000.0,1600000000.0,0,0,0
2011,0,111394060.0,32568000000.0,83794.0,6126316.0,921399400000.0,12.0,171196.0,416000000.0,24664.0,540948000.0,283890188000.0,0,0,0,12416.0,153067296.0,203587592000.0,1239.0,20780.0,0,0,0,0,40.0,2080.0,12548000000.0,1776.0,16354232.0,3124492000.0,0,0,0
2012,0.0,113452340.0,103114800000.0,2868.0,11167716.0,89945256000.0,0.0,40000.0,0.0,14196.0,254964002.0,103764552000.0,64.0,0.0,0.0,12421.0,78258584.0,343152216000.0,2004.0,488.0,0.0,0,0,0,88.0,14736.0,4000000000.0,8102.0,2429572.0,743805000.0,0,0,0
2013,0.0,42019616.0,6348000000.0,4480.0,28328468.0,36467436000.0,0,375384.0,0,39329.0,128351063.0,235416816000.0,184.0,0,32000000.0,34417.0,195059124.0,215219456000.0,940.0,4000.0,0,0,0,0,149.0,6204.0,4297600000.0,7113.0,517776.0,5600000000.0,0,0,0
2014,0,278783044.0,44428000000.0,3099.0,12634224.0,29348000000.0,408.0,718052.0,744000000.0,14198.0,161938972.0,147359968000.0,0,0,0,5754.0,102832008.0,162172288000.0,3840.0,43172.0,1092000000.0,0,0,0,64.0,43716.0,1036000000.0,4764.0,4886792.0,10072000000.0,0,0,0
2015,140.0,1531940460.0,87669196000.0,38200.0,27806364.0,24111408000.0,0,3824368.0,2400000000.0,13960.0,108877943.0,85551000000.0,52.0,0,0,5160.0,40789990.0,138729512000.0,4024.0,153764.0,32000000.0,0,0,0,312.0,2417068.0,13759280000.0,33462.0,4982480.0,376000000.0,0,0,0
2016,0,118104000.0,14216000000.0,5541.0,4603021.0,137378000000.0,0,0,0,17617.0,307845480.0,232121400000.0,0,0,0,7045.0,375480136.0,184088684000.0,1428.0,1073580.0,2900000000.0,0,0,0,164.0,597319.0,25305000000.0,1981.0,3628000.0,6908000000.0,0,0,0
2017,0.0,74247496.0,26788000000.0,4082.0,7922536.0,38471352000.0,0,577396.0,0,13372.0,222113624.0,81481620000.0,32.0,800.0,0,10272.0,99670783.0,1096091804000.0,9248.0,793924.0,589200000.0,0,0,0,825.0,281336.0,68420000000.0,1436.0,7308880.0,0,0,0,0
2018,0,101937380.0,37414676000.0,20244.0,12918268.0,28456000000.0,3656.0,7605436.0,3589256000.0,11559.0,135705539.0,79718608000.0,68.0,0,0,6861.0,72363404.0,293345190000.0,1060.0,206552.0,3712144000.0,0,0,0,984.0,1033840.0,91310000000.0,3078.0,1391072.0,0,0,0,0
2019,340.0,90890372.0,540000000.0,1044.0,6516050.0,9637032000.0,84.0,195200.0,0,20620.0,139125478.0,149870400000.0,0,0,0,10100.0,151136657.0,230963392000.0,2908.0,693416.0,800000000.0,0,0,0,464.0,40186124.0,14924000000.0,14841.0,529840.0,0,0,0,0
2020,180.0,86104000.0,30000000000.0,795.0,1625783.0,71447000000.0,4.0,3103092.0,264000000.0,24756.0,134638446.0,206034644000.0,0,0,0,7084.0,165084448.0,354113544000.0,2059.0,717480.0,520000000.0,0,0,0,300.0,1077464.0,44688000000.0,29156.0,120000.0,0,0,0,0
2021,0.0,250174816.0,65372000000.0,10969.0,4284320.0,45263564000.0,341.0,1940675.0,6380000000.0,16863.0,117683249.0,346072000000.0,0,0,0,7588.0,70440075.0,553304012000.0,896.0,22180.0,1000000000.0,0,0,0,518.0,2864002.0,37701648000.0,4176.0,0,28000000000.0,1000.0,0,840000000.0
2022,9860.0,149862348.0,34560000000.0,5152.0,5572964.0,38035888000.0,24.0,379376.0,468000000.0,29561.0,219198234.0,76406960000.0,0,0,0,5710.0,52256010.0,58759828000.0,1043.0,386398.0,0,0,0,0,295.0,956468.0,2960000000.0,232.0,69400.0,0,60.0,0,0
